time, x, y, heading, vel_x, vel_y, vel_heading,
2.112, 0.143986, 0.00298739, 0.0145464, 0.0675996, 0.00186453, 0.0101183, 
2.12, 0.14452, 0.00300054, 0.0146533, 0.0667637, 0.00164295, 0.0133572, 
2.128, 0.145054, 0.00301058, 0.0147613, 0.0667602, 0.00125553, 0.0135088, 
2.136, 0.145588, 0.00301829, 0.0148703, 0.0667593, 0.000964288, 0.0136207, 
2.144, 0.146122, 0.00302392, 0.01498, 0.0667587, 0.000703505, 0.0137096, 
2.152, 0.146671, 0.00302909, 0.015072, 0.0685684, 0.000646468, 0.0115056, 
2.16, 0.147219, 0.0030352, 0.0151644, 0.068576, 0.000763382, 0.0115536, 
2.168, 0.147768, 0.00304023, 0.0152572, 0.0685772, 0.000628323, 0.0115983, 
2.176, 0.148316, 0.00304363, 0.0153503, 0.0685774, 0.000425321, 0.0116345, 
2.184, 0.148862, 0.00304488, 0.0154469, 0.0681458, 0.000155979, 0.0120695, 
2.192, 0.149407, 0.00304361, 0.0155436, 0.0681437, -0.000158205, 0.0120944, 
2.2, 0.149952, 0.00304074, 0.0156405, 0.0681432, -0.000359491, 0.0121138, 
2.208, 0.150497, 0.00303782, 0.0157376, 0.0681428, -0.000364751, 0.0121312, 
2.216, 0.151031, 0.00303176, 0.0158608, 0.066787, -0.000757399, 0.0154034, 
2.224, 0.151566, 0.00302524, 0.0159842, 0.0667809, -0.000815583, 0.0154283, 
2.232, 0.1521, 0.00301877, 0.0161077, 0.0667797, -0.000807867, 0.0154331, 
2.24, 0.152634, 0.00301237, 0.0162312, 0.0667792, -0.000800041, 0.0154375, 
2.248, 0.153172, 0.00300848, 0.0163362, 0.0672735, -0.000486625, 0.0131205, 
2.256, 0.15371, 0.00300472, 0.0164411, 0.0672755, -0.000470001, 0.0131124, 
2.264, 0.154249, 0.003001, 0.016546, 0.0672758, -0.000464858, 0.0131162, 
2.272, 0.154787, 0.00299733, 0.0166509, 0.0672759, -0.000459372, 0.0131191, 
2.28, 0.15533, 0.00299888, 0.0167163, 0.0679455, 0.000194426, 0.00817133, 
2.288, 0.155874, 0.00300062, 0.0167815, 0.0679484, 0.000217845, 0.00814756, 
2.296, 0.156418, 0.00300239, 0.0168467, 0.0679488, 0.000221014, 0.00814943, 
2.304, 0.156961, 0.00300418, 0.0169119, 0.0679489, 0.000224002, 0.00815118, 
2.312, 0.157498, 0.00300497, 0.0169842, 0.0670879, 9.86806e-05, 0.00903281, 
2.32, 0.158035, 0.00300575, 0.0170565, 0.067084, 9.70687e-05, 0.00903912, 
2.328, 0.158571, 0.00300658, 0.0171288, 0.0670833, 0.000104103, 0.00903775, 
2.336, 0.159108, 0.00300746, 0.0172011, 0.0670829, 0.00010988, 0.00903736, 
