time, light, accx, accy, accz,
8.992, 2.227, -0.022587, -0.068126, 9.78897, 
9.024, 2.21963, 0.0179634, -0.0823394, 9.74367, 
9.056, 2.21955, -0.0606111, 0.0198574, 9.72943, 
9.088, 2.229, -0.0654577, 0.00861284, 9.79822, 
9.12, 2.22735, -0.0935318, 0.0240382, 9.83994, 
9.152, 2.19569, 0.0534062, 0.0771842, 9.80865, 
9.184, 2.20623, 0.0707404, -0.00662452, 9.8057, 
9.216, 2.19327, 0.0945133, -0.0272267, 9.79697, 
9.248, 2.23232, 0.0335729, -0.077698, 9.82129, 
9.28, 2.20107, -0.0237211, -0.0194586, 9.80003, 
9.312, 2.22607, 0.0918835, -0.105861, 9.7449, 
9.344, 2.23383, -0.0215542, -0.0428792, 9.89386, 
9.376, 2.21616, 0.120126, 0.0395618, 9.72664, 
9.408, 2.21446, 0.110789, 0.0440462, 9.76078, 
9.44, 2.19859, -0.023852, 0.00813373, 9.75426, 
9.472, 2.20338, -0.0767951, 0.0418979, 9.69906, 
9.504, 2.1993, -0.0184305, 0.0383186, 9.70213, 
9.536, 2.21568, -0.056981, -0.0121512, 9.78463, 
9.568, 2.23403, 0.00868837, 0.0334833, 9.74341, 
9.6, 2.22804, -0.0040112, 0.039794, 9.84028, 
9.632, 2.20145, -0.0755154, 0.0251145, 9.75504, 
9.664, 2.22716, 0.0387525, 0.017256, 9.7625, 
9.696, 2.23305, 0.0348311, 0.0419257, 9.76098, 
9.728, 2.20253, 0.00919906, 0.00912786, 9.75346, 
9.76, 2.20002, -0.0271045, 0.0687991, 9.87599, 
9.792, 2.21791, -0.00441258, 0.0877856, 9.84064, 
9.824, 2.23923, 0.0281601, -0.012269, 9.76293, 
9.856, 2.22243, 0.0566481, -0.00471484, 9.86676, 
9.888, 2.22637, 0.00107807, -0.032588, 9.776, 
9.92, 2.21056, -0.0573255, -0.0334234, 9.83657, 
9.952, 2.23874, 0.0198196, 0.00842211, 9.8626, 
9.984, 2.21249, -0.00122023, 0.0276732, 9.80138, 
10.016, 2.2168, 0.0834252, 0.0593832, 9.79261, 
10.048, 2.21184, -0.00200998, -0.0537143, 9.78255, 
10.08, 2.20463, 0.0604478, 0.0484, 9.89602, 
10.112, 2.21311, -0.00337384, -0.022569, 9.74562, 
10.144, 2.23894, 0.0195317, 0.109823, 9.86474, 
10.176, 2.21892, 0.00698946, 0.0715323, 9.8484, 
10.208, 2.21132, -0.0370185, 0.0423977, 9.82191, 
10.24, 2.21769, -0.0298285, 0.0500971, 9.80649, 
10.272, 2.24049, 0.015932, -0.0127538, 9.81812, 
10.304, 2.23044, -0.0128889, 0.0170501, 9.70754, 
10.336, 2.22092, 0.0121452, -0.00861001, 9.78148, 
10.368, 2.21172, -0.0309677, -0.039523, 9.77082, 
10.4, 2.23372, 0.0335865, -0.130253, 9.82284, 
10.432, 2.24389, 0.0523176, -0.0623678, 9.80848, 
10.464, 2.23458, 0.0188437, -0.0331557, 9.85259, 
10.496, 2.24143, 0.00406106, -0.0460622, 9.90427, 
10.528, 2.21348, -0.0297502, 0.0869903, 9.85983, 
10.56, 2.21298, 0.0437267, -0.000291054, 9.71172, 
10.592, 2.2087, -0.0359488, 0.0478347, 9.8033, 
10.624, 2.22299, 0.0164668, -0.0799031, 9.74601, 
10.656, 2.22478, -0.0165052, 0.0230585, 9.84717, 
10.688, 2.21655, -0.0533787, 0.0450229, 9.77268, 
10.72, 2.24575, -0.0421918, 0.0573853, 9.8398, 
10.752, 2.21579, 0.00319297, 0.000802375, 9.8004, 
10.784, 2.24668, -0.0445538, -0.00198427, 9.78779, 
10.816, 2.23986, 0.0251426, -0.0475984, 9.85262, 
10.848, 2.23172, -0.0405678, 0.117945, 9.78737, 
10.88, 2.23477, 0.00500121, -0.0243012, 9.79453, 
10.912, 2.2453, 0.0149079, 0.0561272, 9.82889, 
10.944, 2.21728, 0.061695, -0.0111758, 9.84264, 
10.976, 2.22642, -0.00975682, -0.0216345, 9.88231, 
11.008, 2.23232, -0.0320674, -0.0485557, 9.80077, 
11.04, 2.21893, 0.047512, -0.0105677, 9.84398, 
11.072, 2.22243, -0.00843602, 0.0519271, 9.77569, 
11.104, 2.23007, 0.0189078, 0.0253049, 9.81691, 
11.136, 2.21147, 0.0170311, -0.0179731, 9.86192, 
11.168, 2.25067, 0.0137848, -0.0373879, 9.85194, 
11.2, 2.24056, -0.0116323, 0.0606531, 9.80479, 
11.232, 2.24579, 0.0303108, 0.0116883, 9.83117, 
11.264, 2.23863, -0.0403148, -0.0408509, 9.81377, 
11.296, 2.22759, -0.0267457, 0.0556874, 9.86188, 
11.328, 2.24823, -0.0862365, -0.0876413, 9.72463, 
11.36, 2.24408, 0.0233471, -0.00188035, 9.81537, 
11.392, 2.22171, -0.102092, 0.0722083, 9.72729, 
11.424, 2.24378, 0.0294084, -0.0346839, 9.82983, 
11.456, 2.25238, 0.00417984, -0.0407121, 9.8546, 
11.488, 2.24248, 0.129428, -0.002319, 9.81993, 
11.52, 2.24882, -0.0818214, -0.0121285, 9.7791, 
11.552, 2.21969, 0.0371698, 0.0208072, 9.77456, 
11.584, 2.25191, 0.0354625, 0.0350755, 9.82393, 
11.616, 2.23567, 0.00473845, 0.0130975, 9.93577, 
11.648, 2.22948, -0.0263808, -0.0218419, 9.81785, 
11.68, 2.21977, 0.0298945, 0.0384496, 9.90503, 
11.712, 2.22306, 0.082884, 0.00868531, 9.79754, 
11.744, 2.24492, -0.0122857, 0.0085271, 9.76332, 
11.776, 2.24981, 0.0548711, 0.00382189, 9.79329, 
11.808, 2.22784, 0.0866879, 0.020766, 9.7366, 
11.84, 2.24231, 0.0526674, -0.0853188, 9.77825, 
11.872, 2.24884, -0.00724017, 0.108798, 9.77016, 
11.904, 2.24564, -0.0242737, 0.00660099, 9.77485, 
11.936, 2.22761, 0.0280266, -0.00360846, 9.80183, 
11.968, 2.21915, -0.00685208, 0.011027, 9.77191, 
12, 2.22854, -0.0647673, 0.0535474, 9.86888, 
12.032, 2.22777, -0.0121872, 0.0255329, 9.81139, 
12.064, 2.21806, 0.0740117, -0.0336509, 9.9833, 
12.096, 2.23824, 0.368421, -0.130586, 10.1071, 
12.128, 2.25395, -0.196841, 0.204853, 10.2954, 
12.16, 2.23411, -0.253598, -0.297522, 9.12406, 
12.192, 2.2227, 0.043037, 0.0235868, 9.6381, 
12.224, 2.22954, -0.755027, 0.180155, 9.38925, 
12.256, 2.22705, -0.581498, -0.510015, 9.05288, 
12.288, 2.24349, 0.118787, -0.0106418, 9.45633, 
12.32, 2.24842, 0.00216602, -0.0348729, 8.9791, 
12.352, 2.23064, -0.0108838, -0.000638749, 9.52145, 
12.384, 2.25642, 0.0710115, 0.0133055, 10.0435, 
12.416, 2.22275, 0.00686059, -0.0410652, 9.40828, 
12.448, 2.22383, -0.166271, -0.044215, 9.8895, 
12.48, 2.22675, 0.259384, 0.00879053, 10.2389, 
12.512, 2.22899, -0.177259, 0.088086, 9.38573, 
12.544, 2.22902, 0.465901, -0.242426, 10.1404, 
12.576, 2.22119, 0.0871668, -0.0329969, 10.0617, 
12.608, 2.24226, 0.12565, 0.0681053, 9.99812, 
12.64, 2.23569, 0.0534445, 0.0760712, 9.8069, 
12.672, 2.23156, 0.0237612, -0.0513749, 9.77943, 
12.704, 2.25098, 0.0704953, 0.0249361, 9.80662, 
12.736, 2.23044, 0.12805, -0.00877304, 9.96613, 
12.768, 2.25642, -0.0573857, 0.0624904, 9.81396, 
12.8, 2.25211, 0.0383796, 0.111458, 9.8124, 
12.832, 2.24421, 0.0437136, -0.0123695, 9.81655, 
12.864, 2.23667, -0.0105633, -0.00448059, 9.86039, 
12.896, 2.235, 0.0377034, -0.0220211, 9.708, 
12.928, 2.21646, 0.00283744, 0.0751999, 9.8337, 
12.96, 2.24323, -0.043822, -0.00283749, 9.69708, 
12.992, 2.24166, -0.0418516, -0.0661842, 9.79923, 
13.024, 2.25627, 0.0681874, -0.0132775, 9.85307, 
13.056, 2.22111, 0.0073788, 0.0278741, 9.82034, 
13.088, 2.23881, 0.124121, -0.000936255, 9.84657, 
13.12, 2.22865, 0.0116391, -0.0231693, 9.80764, 
13.152, 2.25384, 0.0481232, 0.0532626, 9.85449, 
13.184, 2.25561, 0.00625722, -0.0697758, 9.79278, 
13.216, 2.25653, -0.0427468, -0.0346715, 9.84837, 
13.248, 2.24484, -0.00887145, -0.0887224, 9.82798, 
13.28, 2.22116, 0.0441835, -0.0204533, 9.78613, 
13.312, 2.25293, 0.088171, -0.040569, 9.847, 
13.344, 2.22509, 0.0705183, -0.00242082, 9.72441, 
13.376, 2.22716, -0.0288378, -0.0235602, 9.76814, 
13.408, 2.24888, 0.111999, 0.01546, 9.81426, 
13.44, 2.21867, 0.0330754, -0.00736099, 9.86665, 
13.472, 2.23673, 0.21504, -0.0562144, 9.85438, 
13.504, 2.22975, 0.017419, 0.0172116, 9.78888, 
13.536, 2.24791, -0.00396739, 0.00462331, 9.77823, 
13.568, 2.24835, -0.03729, 0.0513855, 9.77052, 
13.6, 2.24956, 0.0554786, 0.150018, 9.78212, 
13.632, 2.2199, 0.0424802, 0.0370337, 9.76166, 
13.664, 2.23795, -0.0606373, 0.0286311, 9.81063, 
13.696, 2.22544, -0.0156746, 0.0833375, 9.76511, 
13.728, 2.2212, 0.00498645, -0.0308916, 9.86641, 
13.76, 2.2528, -0.0786847, -0.00058001, 9.88031, 
13.792, 2.24967, 0.045403, 0.0226493, 9.72265, 
13.824, 2.24079, 0.0158675, -0.0990548, 9.83107, 
13.856, 2.23168, 0.0383899, -0.0354587, 9.82029, 
13.888, 2.24217, 0.0495147, -0.00495341, 9.70703, 
13.92, 2.24226, 0.0666761, 0.00953917, 9.74673, 
13.952, 2.23394, -0.110722, -0.12956, 9.88717, 
13.984, 2.22156, -0.00541247, 0.0159569, 9.83385, 
14.016, 2.23518, 0.0206088, 0.0405129, 9.81413, 
14.048, 2.24732, -0.0589969, -0.0126074, 9.79812, 
